Setting up remote buttons
Successfully set up remote buttons
Default: 0 Min: -127 Max: 127 KP : -0.50 KD: 0.00
Starting moveTask
[TURNTABLE]  806    0    0 127
[TURNTABLE]  806    0    0 127
[TURNTABLE]  806    0    0 127
[TURNTABLE]  806    0    0 127
[TURNTABLE]  806    2  200 127
[TURNTABLE]  806    6  400 127
[TURNTABLE]  806   13  700 127
[TURNTABLE]  806   17  400 127
[TURNTABLE]  806   25  800 127
[TURNTABLE]  806   29  400 127
[TURNTABLE]  806   36  700 127
[TURNTABLE]  806   40  400 127
[TURNTABLE]  806   43  300 127
[TURNTABLE]  806   48  500 127
[TURNTABLE]  806   53  500 127
[TURNTABLE]  806   59  600 127
[TURNTABLE]  806   65  600 127
[TURNTABLE]  806   72  700 127
[TURNTABLE]  806   80  800 127
[TURNTABLE]  806   88  800 127
[TURNTABLE]  806   93  500 127
[TURNTABLE]  806  101  800 127
[TURNTABLE]  806  112 1100 127
[TURNTABLE]  806  117  500 127
[TURNTABLE]  806  126  900 127
[TURNTABLE]  806  133  700 127
[TURNTABLE]  806  138  500 127
[TURNTABLE]  806  149 1100 127
[TURNTABLE]  806  155  600 127
[TURNTABLE]  806  161  600 127
[TURNTABLE]  806  168  700 127
[TURNTABLE]  806  175  700 127
[TURNTABLE]  806  184  900 127
[TURNTABLE]  806  190  600 127
[TURNTABLE]  806  197  700 127
[TURNTABLE]  806  207 1000 127
[TURNTABLE]  806  214  700 127
[TURNTABLE]  806  222  800 127
[TURNTABLE]  806  229  700 127
[TURNTABLE]  806  236  700 127
[TURNTABLE]  806  245  900 127
[TURNTABLE]  806  254  900 127
[TURNTABLE]  806  258  400 127
[TURNTABLE]  806  270 1200 127
[TURNTABLE]  806  276  600 127
[TURNTABLE]  806  281  500 127
[TURNTABLE]  806  293 1200 127
[TURNTABLE]  806  300  700 127
[TURNTABLE]  806  305  500 127
[TURNTABLE]  806  316 1100 127
[TURNTABLE]  806  321  500 127
[TURNTABLE]  806  329  800 127
[TURNTABLE]  806  337  800 127
[TURNTABLE]  806  344  700 127
[TURNTABLE]  806  353  900 127
[TURNTABLE]  806  361  800 127
[TURNTABLE]  806  366  500 127
[TURNTABLE]  806  375  900 127
[TURNTABLE]  806  382  700 127
[TURNTABLE]  806  389  700 127
[TURNTABLE]  806  398  900 127
[TURNTABLE]  806  406  800 127
[TURNTABLE]  806  414  800 127
[TURNTABLE]  806  423  900 126
[TURNTABLE]  806  428  500 127
[TURNTABLE]  806  438 1000 117
[TURNTABLE]  806  444  600 126
[TURNTABLE]  806  452  800 117
[TURNTABLE]  806  460  800 114
[TURNTABLE]  806  468  800 111
[TURNTABLE]  806  473  500 118
[TURNTABLE]  806  484 1100  95
[TURNTABLE]  806  488  400 115
[TURNTABLE]  806  497  900  96
[TURNTABLE]  806  505  800  96
[TURNTABLE]  806  512  700  96
[TURNTABLE]  806  521  900  87
[TURNTABLE]  806  527  600  93
[TURNTABLE]  806  533  600  91
[TURNTABLE]  806  543 1000  75
[TURNTABLE]  806  547  400  91
[TURNTABLE]  806  558 1100  66
[TURNTABLE]  806  562  400  85
[TURNTABLE]  806  569  700  73
[TURNTABLE]  806  578  900  64
[TURNTABLE]  806  584  600  70
[TURNTABLE]  806  593  900  58
[TURNTABLE]  806  600  700  61
[TURNTABLE]  806  606  600  62
[TURNTABLE]  806  614  800  52
[TURNTABLE]  806  618  400  63
[TURNTABLE]  806  628 1000  41
[TURNTABLE]  806  632  400  57
[TURNTABLE]  806  642 1000  35
[TURNTABLE]  806  647  500  48
[TURNTABLE]  806  654  700  39
[TURNTABLE]  806  657  300  50
[TURNTABLE]  806  666  900  29
[TURNTABLE]  806  670  400  42
[TURNTABLE]  806  678  800  27
[TURNTABLE]  806  681  300  41
[TURNTABLE]  806  688  700  26
[TURNTABLE]  806  692  400  33
[TURNTABLE]  806  699  700  21
[TURNTABLE]  806  701  200  36
[TURNTABLE]  806  706  500  25
[TURNTABLE]  806  713  700  16
[TURNTABLE]  806  714  100  33
[TURNTABLE]  806  721  700  13
[TURNTABLE]  806  726  500  17
[TURNTABLE]  806  727  100  28
[TURNTABLE]  806  732  500  14
[TURNTABLE]  806  737  500  12
[TURNTABLE]  806  737    0  27
[TURNTABLE]  806  741  400  14
[TURNTABLE]  806  746  500   9
[TURNTABLE]  806  749  300  13
[TURNTABLE]  806  749    0  22
[TURNTABLE]  806  752  300  12
[TURNTABLE]  806  755  300  11
[TURNTABLE]  806  758  300  10
[TURNTABLE]  806  760  200  12
[TURNTABLE]  806  762  200  11
[TURNTABLE]  806  762    0  17
[TURNTABLE]  806  761 -100  21
[TURNTABLE]  806  762  100  14
[TURNTABLE]  806  762    0  17
[TURNTABLE]  806  764  200  10
[TURNTABLE]  806  764    0  16
[TURNTABLE]  806  765  100  13
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
[TURNTABLE]  806  765    0  16
